ICONOGRAPHIC INDEX: FIGURES,PERSONS,,,,,,,,
,"historical persons (donors, owners, etc.)",Literary persons,,,,"Classes of persons, archetypes",,,
,,Human beings,Supra-human beings,,,,,,
,,,Buddha,Bodhisattva,Gods and Spirit Deities,"professions, roles",generic mitological figures,Fantastic animals/terioanthropomorphic figures,animals
index,historical persons,Human beings,Buddha,Bodhisattva,Deities and Spirits,professions and roles,generic mythological figures,Fantastic animals and terioanthropomorphic figures,animals
Agni,,,,,Agni,,,,
Acrobat(s),,,,,,Acrobat(s),,,
Ājīvika,,,,,,Ājīvika,,,
Ajñātakauṇḍinya,,Ajñātakauṇḍinya,,,,,,,
Amitābha,,,Amitābha,,,,,,
Amorino,,,,,,,Amorino,,
Amrapālī,,Amrapālī,,,,,,,
Ānanda,,Ānanda,,,,,,,
Aṅgulimāla,,Aṅgulimāla,,,,,,,
Animal-headed deity,,,,,,,,Animal-headed deity,
Anuruddhā,,Anuruddhā,,,,,,,
Apalāla,,,,,Apalāla,,,,
Apsarā,,,,,,,Apsarā,,
Archer,,,,,,Archer,,,
"Ardokhsho, Ardochsho, Ardokhsho, Ardoxsho",,,,,"Ardokhsho, Ardochsho, Ardokhsho, Ardoxsho",,,,
Ascetic,,,,,,Ascetic,,,
"Asita, Kaladevala, Kanhasiri",,"Asita, Kaladevala, Kanhasiri",,,,,,,
Āṭavika,,Āṭavika,,,,,,,
Athena,,,,,Athena,,,,
Atlas/Atlantes,,,,,,,Atlas/Atlantes,,
Avalokiteśvara,,,,Avalokiteśvara,,,,,
Bāvarī,,Bāvarī,,,,,,,
Beggar,,,,,,Beggar,,,
Bhadravargīya ascetics,,,,,,Bhadravargīya ascetics,,,
Bhallika,,Bhallika,,,,,,,
Bird (as deity),,,,,,,,,Bird (as deity)
Bodhisattva,,,,,,Bodhisattva,,,
Bodhi-tree deity,,,,,,,Bodhi-tree deity,,
Brahmā,,,,,Brahmā,,,,
Brāhmaṇ(s),,,,,Brāhmaṇ(s),,,,
Brahmacārin,,,,,,Brahmacārin,,,
Buddha,,,,,,Buddha,,,
Cassandra,,Cassandra,,,,,,,
Celestial being(s),,,,,,,Celestial being(s),,
Centaurs,,,,,,,,Centaurs,
Centauress,,,,,,,,Centauress,
Chandaka,,Chandaka,,,,,,,
Chakravartin,,,,,,Chakravartin,,,
"City goddess, Nagaradevatā",,,,,"City goddess, Nagaradevatā",,,,
Couple(s),,,,,,Couple(s),,,
Dancer(s),,,,,,Dancer(s),,,
Demon(s),,,,,,,Demon(s),,
Deva,,,,,,,Deva,,
Devadatta,,Devadatta,,,,,,,
Dionysus,,,,,Dionysus,,,,
Dioscuri,,,,,Dioscuri,,,,
Dīpaṃkara,,,Dīpaṃkara,,,,,,
"Earth goddess, Bhūmi, Bhū, Pṛṭvi",,,,,"Earth goddess, Bhūmi, Bhū, Pṛṭvi",,,,
Elapatra,,,,,Elapatra,,,,
Fabulous animal ,,,,,,,,Fabulous animal ,
Female devotee(s),,,,,,Female devotee(s),,,
Female donor(s),,,,,,Female donor(s),,,
Female guardian(s),,,,,,Female guardian(s),,,
Feminine figure(s),,,,,,Feminine figure(s),,,
Feminine figure(s) with infant,,,,,,Feminine figure(s) with infant,,,
Figure(s) on a chariot,,,,,,Figure(s) on a chariot,,,
Figure(s) pulling a bull,,,,,,Figure(s) pulling a bull,,,
Figure(s) riding an elephant,,,,,,Figure(s) riding an elephant,,,
Figure(s) riding camel(s),,,,,,Figure(s) riding camel(s),,,
Fortuna,,,,,Fortuna,,,,
Garuḍa,,,,,Garuḍa,,,,
Genius,,,,,,,Genius,,
"Gopā, Yaśodhā",,"Gopā, Yaśodhā",,,,,,,
Hārītī,,,,,Hārītī,,,,
Harpocrates,,,,,Harpocrates,,,,
Heracles,,,,,Heracles,,,,
Hunter,,,,,,Hunter,,,
Ichthyocentaur  ,,,,,,,,Ichthyocentaur  ,
"Indra, Śakra",,,,,"Indra, Śakra",,,,
"Jaṭāyus, Jaṭāyu",,"Jaṭāyus, Jaṭāyu",,,,,,,
Jeweller,,,,,,Jeweller,,,
Juvenile figure(s),,,,,,Juvenile figure(s),,,
Kālika,,,,,Kālika,,,,
"Kālodāyī, Udāyī",,"Kālodāyī, Udāyī",,,,,,,
Kāmeśvara,,,,,Kāmeśvara,,,,
Kāśyapa ascetics,,,,,,Kāśyapa ascetics,,,
Kiṃnara(s),,,,,,,,Kiṃnara(s),
Kṛṣṇa,,,,,Kṛṣṇa,,,,
Kubera,,,,,Kubera,,,,
Kumbhīra,,Kumbhīra,,,,,,,
Lakṣmaṇa,,,,,Lakṣmaṇa,,,,
Lokapāla,,,,,,,Lokapāla,,
Madrī,,Madrī,,,,,,,
"Mahākāśyapa, Kāśyapa",,"Mahākāśyapa, Kāśyapa",,,,,,,
Mahāprajāpatī,,Mahāprajāpatī,,,,,,,
Mahārāja,,,,,,Mahārāja,,,
Maitreya,,,,Maitreya,,,,,
Male devotee(s),,,,,,Male devotee(s),,,
Male donor(s),,,,,,Male donor(s),,,
Male guardian(s),,,,,,Male guardian(s),,,
Māra,,,,,Māra,,,,
Māra’s daughter(s),,,,,,,Māra’s daughter(s),,
Masculine figure(s),,,,,,Masculine figure(s),,,
Māyā,,Māyā,,,,,,,
Maitrakanyaka,,Maitrakanyaka,,,,,,,
Megha,,Megha,,,,,,,
Monk(s),,,,,,Monk(s),,,
Monkey (as character),,,,,,Monkey (as character),,,
Mṛgaśiras,,Mṛgaśiras,,,,,,,
Musician(s),,,,,,Musician(s),,,
Nāga(s),,,,,,,Nāga(s),,
"Nagaradevatā, City Goddess",,,,,"Nagaradevatā, City Goddess",,,,
Naigameśa (?),,,,,Naigameśa (?),,,,
Naradatta,,Naradatta,,,,,,,
Nun,,,,,,Nun,,,
Padmapāṇi,,,,Padmapāṇi,,,,,
Pañcaśikha,,Pañcaśikha,,,,,,,
Pāñcika,,,,,Pāñcika,,,,
Pharro,,,,,Pharro,,,,
Piṅgala,,Piṅgala,,,,,,,
Poseidon,,,,,Poseidon,,,,
Prakṛti,,Prakṛti,,,,,,,
pregnant woman,,,,,,pregnant woman,,,
Priyaṃkara,,Priyaṃkara,,,,,,,
Putto,,,,,,,Putto,,
Rāhula,,Rāhula,,,,,,,
Rāma,,,,,Rāma,,,,
Rāvaṇa,,,,,Rāvaṇa,,,,
Renunciant(s),,,,,,Renunciant(s),,,
Rider(s),,,,,,Rider(s),,,
River god,,,,,,,River god,,
Śākyamuni,,,Śākyamuni,,,,,,
Śalabhañjikā,,,,,,,Śalabhañjikā,,
Śaṅkhakuñjara (dog as character),,,,,,,,,Śaṅkhakuñjara (dog as character)
Sailor(s),,,,,,Sailor(s),,,
"Sea deity, water deity",,,,,,,"Sea deity, water deity",,
Śibi,,Śibi,,,,,,,
"Silenus, aged Silenus type",,,,,"Silenus, aged Silenus type",,,,
Siddhārtha,,,Siddhārtha,,,,,,
Sītā,,,,,Sītā,,,,
Śiva,,,,,Śiva,,,,
"Skanda, Kārttikeya, Kumara",,,,,"Skanda, Kārttikeya, Kumara",,,,
Six-armed god,,,,,,,Six-armed god,,
Soldier(s),,,,,,Soldier(s),,,
Spearman(men),,,,,,Spearman(men),,,
Śrī,,,,,Śrī,,,,
Śrīgupta,,Śrīgupta,,,,,,,
Subhadrā,,Subhadrā,,,,,,,
Sudāya,,Sudāya,,,,,,,
Śuddhodana,,Śuddhodana,,,,,,,
Sujātā,,Sujātā,,,,,,,
"Śuka, Śukamāṇava",,"Śuka, Śukamāṇava",,,,,,,
"Sumedha, Megha",,"Sumedha, Megha",,,,,,,
"Sundarananda, Nanda",,"Sundarananda, Nanda",,,,,,,
Sundarī,,Sundarī,,,,,,,
Suvarṇaprabhāsā,,Suvarṇaprabhāsā,,,,,,,
Śvetaketu,,Śvetaketu,,,,,,,
Trapuṣa,,Trapuṣa,,,,,,,
"Trāyastriṃśa, Thirty-Three gods",,,,,"Trāyastriṃśa, Thirty-Three gods",,,,
Triton,,,,,,,,Triton,
Tritoness,,,,,,,,Tritoness,
Trojan horse,,,,,,Trojan horse,,,
Tutelary couple,,,,,,Tutelary couple,,,
Tyche,,,,,Tyche,,,,
Utpalavarṇā,,Utpalavarṇā,,,,,,,
Vaiśravaṇa,,Vaiśravaṇa,,,,,,,
Vajrapāṇi,,,,Vajrapāṇi,,,,,
Viduṣaka,,,,,,Viduṣaka,,,
Vijaya,,Vijaya,,,,,,,
Viṣṇu,,,,,Viṣṇu,,,,
Viśvakarmā,,,,,Viśvakarmā,,,,
Viśvamitra,,Viśvamitra,,,,,,,
Warrior,,,,,,Warrior,,,
Warrior deity,,,,,,,Warrior deity,,
"Watermen, water deities",,,,,,,"Watermen, water deities",,
Wind god,,,,,,,Wind god,,
Winged female figure,,,,,,,,Winged female figure,
Winged male figure,,,,,,,,Winged male figure,
Wreath-bearer(s),,,,,,Wreath-bearer(s),,,
Yakṣa,,,,,,,Yakṣa,,
Yakṣī,,,,,,,Yakṣī,,
Yaśodharā,,Yaśodharā,,,,,,,
"Yavanī, female guardian",,,,,,,"Yavanī, female guardian",,
"Young ascetic, Brahmacārin",,,,,,"Young ascetic, Brahmacārin",,,
Zoomorphic goddess,,,,,,,,Zoomorphic goddess,
